text,sentiment
makin lama makin tolol dah bener dulu aplikasi anak bangsa percaya malah niru shopee notabene banyak itnya it scammer india mau ubah jadi aplikasi scammer kayak india dulu udah bagus sekarang malah ngerusak nama baik dulu tolol luh ngerusak bisnis sendiri,negative
aplikasi tolol anjg masa alamat dr akun sy sm abang gojek beda jauh gitu tadi sen goput alamatny benar kalo masang alamat kan kasi letak dmn rumah ada isi benar dan sesuai nah kan klo sen goput klo makan sdh antar psti bisa pantau abangny dmn kan nah pas mkanan pantau kok titik nya beda jauh alamat saya ya padahal riwayat psnan sesuai sy smpe maki abg gojekny sy customer loh,negative
jalan cepak aman mksh,positive
good job,positive
ramah,positive
nice,positive
lams bgt gofood nunggu jam ga sampe gila,negative
dong fitur jadwalin buat goride aktif aku butuh banget buat pulang kerjaaa,negative
bantu min akun login nomor hp email karena baru hilang handphone punya akses nomor hp kartu paket daftar kartu sebut pakai nik otomatis tidak aktif kart sim tsb jika login email lupa kata sandi email handphone hilang hp lama tidak pernah sama sekali ganti sandi kala inti saya tidak login no hp email kantor gojek b,negative
jempol,positive
tadi pagi omelin sama bapak bapak gojek chat padahal salah apa apa salah pencet lalu langsung batal bapak malah marah marah mohon kurang grab itu ke costumer sangat sangat tidak sopan buat saya sakit hati sempat menang,neutral
apa sih gojek suka ganti alamat tuju padahal akhir pesan antar rumah sekarang malah ganti otomatis rumah kakak aku udh nahan lapar nunggu beli pempek malah salah alamat,negative
lama banget sejak ga pake gojek buat sen makan sekarang malah jadi jelek bangettt ga masuk akal vouchernya gabisa pakai semua resto,negative
baguss pol,positive
lama mes anyep susah dapet order,neutral
lebih nyaman aman guna aplikasi gojek,positive
mantap,positive
driver sopan baik aman tuju,positive
aplikasi tipu pesan minum kirim yang kok ada driver harus telepon trus nanya dong alamat nya ini malah kasih enak orang balikin uang aku,negative
kalau driver makan ibu kok nyolot suka sedih tau cari rezeki karena sulit nemu alamat baca maps lah pdhl driver klu cowo ga perlu nanya karena alamat selalu sesuai aplikasi aku selalu kirim foto bangun n kasih arah taruh takut kan ntr pas ga standby hp nah si ibu nya chat trus mungkin ada training buat baca maps ga kasi rating jelek kok drivernya,negative
terlalu sering upgrade,negative
kalo buat iklan tombol x nya besar kalo mencet x selalu masuk aplikasi mulu,neutral
benar iklan gofood yg sekarang dong di hp bunyi nya tut tut tut gitu terus di benar kesel bunyi nya itu terus,negative
oke banyakin diskon kalau ya,positive
suruh langgan biar murah tunggu driver nya jam ga dapet suruh upgrade pesan jadi yg cepat buat apa langgan kalau tetap harga normal x pesan ga dapet driver nya,negative
good,positive
tani jalan,positive
cepat tanggap,positive
gausah download dapet driver susah udh dibatalin kali pesan aku dah gitu lapor masalah cs gabisa ngetik masalah nya gimana malah pilih pilih masalah yg bukan alamin,negative
nang masalah pihak gojek sangat lambat dana buruk akhir gopay potong masalah selesai,negative
buruk,negative
aplikasi sangat guna banget saat malas pergi bisa pesan makan lewat aplikasi,positive
solusi tepat kendara pribadi lgi service gofoodnya oke,positive
aplikasi bisa install,negative
bagus,positive
akun udah lama transaksi pake gopay ngajuin gopaypinjam di tolak aneh,negative
jadi suka gopay asal aja blokir gopaylater salam akun,negative
gosend makan sangat bantu saat jamu tamu rumah,positive
aplikasi bug terus,negative
sopan tahu jalan,positive
oke,positive
jooosssa,positive
mantab,positive
uang tol udah d bayar cash drivernya d aplikasi mintain masa hadeh update dana d kembali tp proses hari but overall tetep bagus,positive
good,positive
cepat,positive
mudah dalam aktivitas gofoodnya sukses selalu,positive
pakai wifi g data baru,negative
bagus banget,positive
praktis mudah,positive
jelas jelas bayar lunas gopay pinjam malah gak pinjam,negative
kalo pas murah driver nya banyak alas ga mau jemput dri aplikasi sering bohong kata driver tdk smp dlm jam sekian dpt voucher rbu tp sllu zonk omong kosong,negative
main bolak balok terus mau nambah power up malah lag ga lanjut batal dikeluarin malah ngulang awal sayang bangt ruby nya harus kalo emang mati bisa lanjut dong kalo gin malah rugi,negative
aplikasi cari gojek aja lamban plus selalu dpt yg jauh,negative
tiap buka aplikasi go jek ga pagi siang sore malam selalu ga selalu rame kadang aplikasi eror why,negative
gua kasih bintang karna layan cs lu buruk sampe detik aju masalah gua bom jelas abai gitu aja jangan anggap cuma masalah kecil,negative
bantu sekali,positive
diskon nya banyakin min,positive
pls adain fitur bayar dgn qris gopay kalian tuh nyebelin bgt kata no kontak yg login trs gw gmnnn kalau ga regist bener aje daaaah luuu mana saldo tb jadi banyak satu pdhl beli selalu genap contoh rp rp jangan buat jadi rp satu aneh saldo kaga usah alesan konfir kontak lu gw udh kontak customer service cm oper ga solusi,positive
tepat ramah,positive
sudah langgan food cukup lama tiba alami kendala yg cukup aneh bikin ngakak jadi awal ngira memang gk dpt promo tp dah hari gadapet promo ku chat cs bilang blokir heran ku rasa pernah laku tindak kek cancel order penyalahgunaan voucher cmn dar pake promo yg sedia beli aja blokir lawak jir ku udh gk tarik buat pakai gofood terimakasih atas canda yg lucu,negative
baik positif,positive
bad experience baru first try pake apk dapet antar makan kurang kena tidak sabar padahal siapin buat party temen,neutral
mantab lancar jaya,positive
